query_id,job_id,rank,score
79,58285,10,14.861856
80,15161,1,17.95629
80,55432,2,17.383293
80,25355,3,17.216976
80,29713,4,17.216976
80,56933,5,16.672932
80,52453,6,15.463908
80,57636,7,15.463908
80,56813,8,15.000321
80,31888,9,14.712196
80,58045,10,14.674672
81,52529,1,18.608555
81,23053,2,17.808588
81,53591,3,16.331284
81,9357,4,12.175688
81,6501,5,12.064756
81,26590,6,11.353718
81,31109,7,9.118354
81,7926,8,8.801794
81,7943,9,8.801794
81,7985,10,8.801794
82,7886,1,22.042265
82,10377,2,22.042265
82,10469,3,22.042265
82,10488,4,22.042265
82,10615,5,22.042265
82,10638,6,22.042265
82,10010,7,22.042265
82,10175,8,22.042265
82,8271,9,22.042265
82,11552,10,22.042265
83,37020,1,23.752853
83,58302,2,23.752853
83,56462,3,23.745697
83,56198,4,23.745697
83,57943,5,23.745697
83,44146,6,22.128138
83,38291,7,21.987202
83,34840,8,20.657547
83,33598,9,20.554611
83,44992,10,20.516554
84,29834,1,28.677391
84,30929,2,24.490023
84,52794,3,23.745697
84,52699,4,20.985416
84,56321,5,20.288837
84,56642,6,20.237967
84,53035,7,19.136185
84,57019,8,18.362335
84,22704,9,18.091213
84,23157,10,18.091213
85,14710,1,22.653078
85,3784,2,22.653078
85,50111,3,22.653078
85,6857,4,22.275095
85,18256,5,20.579962
85,6084,6,20.579962
85,6652,7,20.579962
85,7221,8,20.579962
85,7454,9,20.579962
85,9028,10,18.854475
86,40239,1,18.184216
86,56173,2,18.09797
86,48599,3,17.773294
86,49924,4,15.645956
86,47321,5,14.743298
86,26992,6,14.002867
86,54665,7,13.764662
86,54520,8,13.213005
86,55087,9,12.973046
86,41985,10,12.782246
87,55866,1,15.92589
87,51344,2,14.493605
87,21105,3,13.844857
87,57483,4,13.399405
87,55608,5,12.361994
87,7948,6,12.330882
87,10692,7,12.330882
87,9779,8,12.330882
87,11687,9,12.330882
87,11612,10,12.330882
88,58068,1,21.910923
88,53010,2,19.904282
88,17005,3,17.67129
88,54668,4,17.601887
88,54669,5,17.601887
88,54670,6,17.601887
88,16318,7,17.00204
88,52717,8,16.045277
88,50907,9,15.974833
88,8642,10,15.219625
89,22168,1,16.656551
89,22169,2,16.656551
89,21074,3,16.656551
89,21338,4,16.656551
89,21521,5,16.656551
89,20812,6,16.656551
89,25303,7,16.656551
89,129,8,16.656551
89,28136,9,16.656551
89,34914,10,16.656551
90,50717,1,21.49519
90,29528,2,20.569542
90,387,3,20.111347
90,20981,4,19.2168
90,22406,5,19.002655
90,31257,6,18.971827
90,55722,7,18.76527
90,24438,8,18.29004
90,36557,9,18.288301
90,36592,10,18.140957
91,3712,1,25.518148
91,21464,2,20.578325
91,33580,3,20.501776
91,37644,4,20.163303
91,47106,5,20.163303
91,52963,6,20.041855
91,47110,7,19.54169
91,21511,8,18.243765
91,30395,9,18.01433
91,11557,10,18.004272
92,21211,1,21.727398
92,18256,2,20.554245
92,7490,3,20.41082
92,9285,4,19.783026
92,51319,5,17.86605
92,7239,6,15.28688
92,14340,7,15.28688
92,15132,8,15.28688
92,18096,9,15.28688
92,1808,10,15.28688
93,49687,1,19.319921
93,47773,2,18.207302
93,47774,3,18.207302
93,41935,4,18.182894
93,33493,5,16.987549
93,37668,6,14.861856
93,35174,7,14.820079
93,52450,8,14.221382
93,53177,9,13.881939
93,56646,10,13.678341
94,7928,1,24.560228
94,16400,2,19.341322
94,48332,3,18.883
94,52142,4,18.608051
94,21175,5,17.269594
94,18146,6,17.176138
94,47139,7,17.007336
94,58183,8,17.007336
94,58185,9,17.007336
94,25051,10,16.941282
95,37349,1,25.04034
95,49140,2,24.802338
95,52736,3,23.96085
95,32302,4,23.242378
95,36562,5,22.53253
95,53043,6,19.307587
95,52695,7,19.083328
95,53874,8,19.025192
95,56274,9,19.025192
95,53044,10,18.796936
96,39486,1,27.598354
96,11471,2,21.727661
96,60204,3,21.189884
96,7868,4,20.610167
96,11682,5,20.610167
96,8576,6,20.610167
96,11319,7,20.610167
96,21867,8,20.610167
96,12675,9,20.610167
96,12677,10,20.610167
97,51317,1,18.237099
97,58085,2,16.572393
97,53629,3,14.339611
97,33415,4,14.151293
97,36459,5,13.233559
97,17676,6,13.098838
97,58285,7,12.748984
97,56103,8,12.395347
97,55005,9,12.336414
97,54464,10,12.336414
98,24167,1,15.740992
98,25725,2,14.431026
98,27658,3,13.73671
98,7080,4,13.217144
98,20860,5,13.127393
98,53321,6,12.87973
98,17064,7,12.739034
98,40941,8,12.678628
98,4898,9,12.538826
98,10928,10,12.483975
99,396,1,18.037327
99,34035,2,17.36439
99,37349,3,16.844421
99,44533,4,14.5551
99,33632,5,14.412229
99,21334,6,14.098663
99,21889,7,13.991507
99,54304,8,13.86599
99,17992,9,13.718884
99,6830,10,13.718884
100,66986,1,24.91798
100,10732,2,24.836515
100,3007,3,24.836515
100,57167,4,23.583925
100,20879,5,22.962866
100,56992,6,21.42955
100,60215,7,21.250654
100,16031,8,21.204508
100,54323,9,21.1013
100,3489,10,21.085691
